category,feature,status,evidence,files,tables,works,gap,risk,solution,priority
"1 Exam management","Results-published state","BROKEN","E09: Marking/finalization trace; both runtime probe artifacts / E12: Result visibility and presentation source; premature-result/finalize probes","app/Http/Controllers/OnlineExamController.php:1046-1138,1548-1588,1604-1814; app/Http/Requests/OnlineExam/{SubmitOnlineExamRequest,ManualMarkAnswerRequest}.php; resources/views/student/online_exam/take.blade.php:144-149 / app/Models/OnlineExam.php:isResultVisibleFor; app/Models/OnlineExamSubmission.php; app/Http/Controllers/OnlineExamController.php:1569-1693; resources/views/{student,admin,teacher}/online_exam/results.blade.php (student uses result.blade.php)","online_exam_submissions; online_exam_answers; online_exam_questions / online_exam_submissions; online_exam_answers; online_exams","pending_manual_marking/finalized attempt values exist.","Exam-level and result publication states conflated; incomplete grading can be exposed.","Incorrect official outcome.","Separate attempt, grading and publication states.","CRITICAL"
"1 Exam management","Paused exams","MISSING","E02: Create/update/publish source; runtime-probes.json / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","online_exams; online_exam_questions; subjects; classes / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add explicit, authorized and audited lifecycle transitions after engine repair.","MEDIUM"
"1 Exam management","Approved exams","MISSING","E02: Create/update/publish source; runtime-probes.json / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","online_exams; online_exam_questions; subjects; classes / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add explicit, authorized and audited lifecycle transitions after engine repair.","MEDIUM"
"1 Exam management","Archived exams","MISSING","E02: Create/update/publish source; runtime-probes.json / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","online_exams; online_exam_questions; subjects; classes / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add explicit, authorized and audited lifecycle transitions after engine repair.","MEDIUM"
"1 Exam management","Duration","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E08: Deadline/heartbeat/schedule source; expiry/window tests; live runtime timezone","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / app/Http/Controllers/OnlineExamController.php:1223-1380,1509-1522,1561-1567; app/Models/OnlineExamSubmission.php; app/Http/Requests/OnlineExam/StartOnlineExamRequest.php; app/Console/Kernel.php; resources/views/student/online_exam/take.blade.php:182-227; config/app.php","online_exams; online_exam_questions; subjects; classes / question_banks; online_exam_questions; online_exam_answers / online_exam_submissions; online_exams","Server duration/deadline, marks-sum readiness, raw-mark threshold.","Nullable duration can normalize to zero outside publish checks; fractional/type limits; UI labels pass mark as %.","Wrong timing or outcomes.","Require positive duration; consistent DECIMAL/range rules; label marks correctly.","HIGH"
"1 Exam management","Total marks","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E08: Deadline/heartbeat/schedule source; expiry/window tests; live runtime timezone","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / app/Http/Controllers/OnlineExamController.php:1223-1380,1509-1522,1561-1567; app/Models/OnlineExamSubmission.php; app/Http/Requests/OnlineExam/StartOnlineExamRequest.php; app/Console/Kernel.php; resources/views/student/online_exam/take.blade.php:182-227; config/app.php","online_exams; online_exam_questions; subjects; classes / question_banks; online_exam_questions; online_exam_answers / online_exam_submissions; online_exams","Server duration/deadline, marks-sum readiness, raw-mark threshold.","Nullable duration can normalize to zero outside publish checks; fractional/type limits; UI labels pass mark as %.","Wrong timing or outcomes.","Require positive duration; consistent DECIMAL/range rules; label marks correctly.","HIGH"
"1 Exam management","Pass mark","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E08: Deadline/heartbeat/schedule source; expiry/window tests; live runtime timezone","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / app/Http/Controllers/OnlineExamController.php:1223-1380,1509-1522,1561-1567; app/Models/OnlineExamSubmission.php; app/Http/Requests/OnlineExam/StartOnlineExamRequest.php; app/Console/Kernel.php; resources/views/student/online_exam/take.blade.php:182-227; config/app.php","online_exams; online_exam_questions; subjects; classes / question_banks; online_exam_questions; online_exam_answers / online_exam_submissions; online_exams","Server duration/deadline, marks-sum readiness, raw-mark threshold.","Nullable duration can normalize to zero outside publish checks; fractional/type limits; UI labels pass mark as %.","Wrong timing or outcomes.","Require positive duration; consistent DECIMAL/range rules; label marks correctly.","HIGH"
"1 Exam management","Academic session","PLACEHOLDER","E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json / E17: Existing authoritative model/schema inspection and exam consumer trace","app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23 / app/Models/{User,School,Enrollment,StudentProfile,Subject,Programme,Session,TeacherPermission,TeacherProgrammeAssignment}.php; app/Http/Controllers/OnlineExamController.php:1816-1850,1924-1933","online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects / users; schools; departments; programmes; classes; subjects; sessions; enrollment; student_profiles; teacher_permissions; teacher_programme_assignments","Teacher form displays disabled controls; authoritative models already exist.","Exam stores neither academic session nor programme; tertiary selectors ignore programme assignments.","Wrong candidates or no selectable subject.","Reference existing models through eligibility service and additive exam fields.","HIGH"
"1 Exam management","Programme/course assignment","PLACEHOLDER","E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json / E17: Existing authoritative model/schema inspection and exam consumer trace","app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23 / app/Models/{User,School,Enrollment,StudentProfile,Subject,Programme,Session,TeacherPermission,TeacherProgrammeAssignment}.php; app/Http/Controllers/OnlineExamController.php:1816-1850,1924-1933","online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects / users; schools; departments; programmes; classes; subjects; sessions; enrollment; student_profiles; teacher_permissions; teacher_programme_assignments","Teacher form displays disabled controls; authoritative models already exist.","Exam stores neither academic session nor programme; tertiary selectors ignore programme assignments.","Wrong candidates or no selectable subject.","Reference existing models through eligibility service and additive exam fields.","HIGH"
"1 Exam management","Class assignment","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E17: Existing authoritative model/schema inspection and exam consumer trace","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / app/Models/{User,School,Enrollment,StudentProfile,Subject,Programme,Session,TeacherPermission,TeacherProgrammeAssignment}.php; app/Http/Controllers/OnlineExamController.php:1816-1850,1924-1933","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / users; schools; departments; programmes; classes; subjects; sessions; enrollment; student_profiles; teacher_permissions; teacher_programme_assignments","Same-school subject/class validation and class visibility exist.","First historical enrollment; null class means school-wide, not programme scope.","Unauthorized same-school candidates sit exam.","Explicit audience + session-aware enrollment/profile checks.","HIGH"
"1 Exam management","Subject assignment","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E17: Existing authoritative model/schema inspection and exam consumer trace","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / app/Models/{User,School,Enrollment,StudentProfile,Subject,Programme,Session,TeacherPermission,TeacherProgrammeAssignment}.php; app/Http/Controllers/OnlineExamController.php:1816-1850,1924-1933","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / users; schools; departments; programmes; classes; subjects; sessions; enrollment; student_profiles; teacher_permissions; teacher_programme_assignments","Same-school subject/class validation and class visibility exist.","First historical enrollment; null class means school-wide, not programme scope.","Unauthorized same-school candidates sit exam.","Explicit audience + session-aware enrollment/profile checks.","HIGH"
"1 Exam management","Exam sections","MISSING","E02: Create/update/publish source; runtime-probes.json / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","online_exams; online_exam_questions; subjects; classes / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add exam-owned section/late-entry/clone/template support; keep clones draft with new identity.","MEDIUM"
"1 Exam management","Late-entry rules","MISSING","E02: Create/update/publish source; runtime-probes.json / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","online_exams; online_exam_questions; subjects; classes / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add exam-owned section/late-entry/clone/template support; keep clones draft with new identity.","MEDIUM"
"1 Exam management","Exam duplication","MISSING","E02: Create/update/publish source; runtime-probes.json / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","online_exams; online_exam_questions; subjects; classes / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add exam-owned section/late-entry/clone/template support; keep clones draft with new identity.","MEDIUM"
"1 Exam management","Exam templates","MISSING","E02: Create/update/publish source; runtime-probes.json / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","online_exams; online_exam_questions; subjects; classes / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add exam-owned section/late-entry/clone/template support; keep clones draft with new identity.","MEDIUM"
"1 Exam management","Attempt limits","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E14: Live SHOW CREATE TABLE/SHOW INDEX inspection versus migrations/test schema","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/live-schema.json; database/migrations/*online_exam*.php; database/migrations/2026_07_02_125458_create_question_banks_table.php; tests/Feature/Support/OnlineExamTestHelper.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / all seven exam/question-bank tables","Configured max_attempts 1-20; active duplicate checks/locking.","No unique attempt-number constraint; expired active row prevents restart until finalized.","Race/recovery fragility.","Add uniqueness after preflight and consistent expiry handling.","HIGH"
"1 Exam management","Exam preview","PARTIAL","E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest","app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23 / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php","online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users","Teacher preview renders question text and MCQ options with keys removed.","Not an exact candidate manifest/interactive runtime preview; admin show missing.","Preview does not reveal all delivery defects.","Shared read-only candidate renderer with no attempt side effects.","MEDIUM"
"1 Exam management","Approval/moderation workflow","PARTIAL","E02: Create/update/publish source; runtime-probes.json / E03: Teacher workflow source; TeacherOnlineExamTest; runtime-probes.json","app/Http/Controllers/OnlineExamController.php:48-374; app/Models/OnlineExam.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamRequest.php; resources/views/admin/online_exam/ / app/Http/Controllers/OnlineExamController.php:455-1138,1816-1850; resources/views/teacher/online_exam/; app/Http/Requests/OnlineExam/UpdateOnlineExamRequest.php:23","online_exams; online_exam_questions; subjects; classes / online_exams; online_exam_questions; teacher_permissions; teacher_programme_assignments; subjects","pending_review, reviewer fields and submit-review/publish methods.","No reviewer assignment/rejection notes/independent approval; alternate state mutation bypasses gates.","Author can bypass process depending on permissions.","State-specific author/reviewer permissions and transition history.","HIGH"
"2 Question bank","Reusable bank","PARTIAL","E04: Question-bank source and import test; both runtime probe artifacts / E10: Policy/permission/role inspection; isolation tests; deny/officer probes","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Support/Permissions/{OnlineExamPermissionService,OnlineExamAuthorizer}.php; app/Policies/OnlineExam*.php; database/seeders/OnlineExamPermissionSeeder.php; app/Models/AuditLog.php:45-53","question_banks; online_exam_questions; subjects / roles; users; global_settings; online_exams; online_exam_submissions","Bank rows have creator/school/subject; teacher import copies content.","No dedicated bank policy; same-school teacher can delete another author's item via admin endpoint.","Loss of shared examination material.","QuestionBankPolicy with scoped view/create/update/archive/import actions.","HIGH"
"2 Question bank","Question author","PARTIAL","E04: Question-bank source and import test; both runtime probe artifacts / E10: Policy/permission/role inspection; isolation tests; deny/officer probes","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Support/Permissions/{OnlineExamPermissionService,OnlineExamAuthorizer}.php; app/Policies/OnlineExam*.php; database/seeders/OnlineExamPermissionSeeder.php; app/Models/AuditLog.php:45-53","question_banks; online_exam_questions; subjects / roles; users; global_settings; online_exams; online_exam_submissions","Bank rows have creator/school/subject; teacher import copies content.","No dedicated bank policy; same-school teacher can delete another author's item via admin endpoint.","Loss of shared examination material.","QuestionBankPolicy with scoped view/create/update/archive/import actions.","HIGH"
"2 Question bank","Question ownership","PARTIAL","E04: Question-bank source and import test; both runtime probe artifacts / E10: Policy/permission/role inspection; isolation tests; deny/officer probes","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Support/Permissions/{OnlineExamPermissionService,OnlineExamAuthorizer}.php; app/Policies/OnlineExam*.php; database/seeders/OnlineExamPermissionSeeder.php; app/Models/AuditLog.php:45-53","question_banks; online_exam_questions; subjects / roles; users; global_settings; online_exams; online_exam_submissions","Bank rows have creator/school/subject; teacher import copies content.","No dedicated bank policy; same-school teacher can delete another author's item via admin endpoint.","Loss of shared examination material.","QuestionBankPolicy with scoped view/create/update/archive/import actions.","HIGH"
"2 Question bank","Question permissions","PARTIAL","E04: Question-bank source and import test; both runtime probe artifacts / E10: Policy/permission/role inspection; isolation tests; deny/officer probes","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Support/Permissions/{OnlineExamPermissionService,OnlineExamAuthorizer}.php; app/Policies/OnlineExam*.php; database/seeders/OnlineExamPermissionSeeder.php; app/Models/AuditLog.php:45-53","question_banks; online_exam_questions; subjects / roles; users; global_settings; online_exams; online_exam_submissions","Bank rows have creator/school/subject; teacher import copies content.","No dedicated bank policy; same-school teacher can delete another author's item via admin endpoint.","Loss of shared examination material.","QuestionBankPolicy with scoped view/create/update/archive/import actions.","HIGH"
"2 Question bank","Subjects","PARTIAL","E04: Question-bank source and import test; both runtime probe artifacts / E14: Live SHOW CREATE TABLE/SHOW INDEX inspection versus migrations/test schema","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / docs/online-exams-audit/live-schema.json; database/migrations/*online_exam*.php; database/migrations/2026_07_02_125458_create_question_banks_table.php; tests/Feature/Support/OnlineExamTestHelper.php","question_banks; online_exam_questions; subjects / all seven exam/question-bank tables","Bank has subject and easy/medium/hard fields.","Cross-school subject references accepted; difficulty not used for generation/filtering.","Wrong tenant linkage and weak organization.","Scoped subject rule and indexed metadata filters.","HIGH"
